t [s]	neMax [m^-3]	ne [10^19 m^-3]	TeMax [keV]	Zeff [1]	Ell [V/m]	ED [V/m]	Ell/ED [1]	Spri [a.u.]	int(Spri) [a.u.]
0.019358	7.97399999999999E19	7.97399999999999	-1.10963395229776	15.643	2.45984778787496	-33.7041144186691	-0.0729836054233313	--	0
0.020433	7.97399999999999E19	7.97399999999999	-0.971112436503869	15.607	2.45086576631464	-38.5117400264441	-0.0636394451310627	--	1.50952835294649
0.021507	7.97399999999999E19	7.97399999999999	-0.835078960366988	15.571	2.44095805512913	-44.7852615932846	-0.0545036015932337	--	87836152.5252428
0.022581	7.97399999999999E19	7.97399999999999	-0.701533523887115	15.534	2.43012465431844	-53.3106806982779	-0.0455841985599884	--	244483906679.136
0.023298	7.97399999999999E19	7.97399999999999	-0.570476127064253	15.498	2.41836556388256	-65.5579224384816	-0.0368889902841554	--	23046620907103.5
0.024372	7.97399999999999E19	7.97399999999999	-0.441906769898401	15.462	2.4056807838215	-84.6314929723349	-0.028425361521247	--	320232030280017
0.025446	7.97399999999999E19	7.97399999999999	-0.315825452389558	15.426	2.39207031413524	-118.417402423137	-0.02020032752946	--	4.03234949117919E15
0.026521	7.97399999999999E19	7.97399999999999	-0.192232174537725	15.389	2.3775341548238	-194.552393640765	-0.0122205340696751	--	2.21692627560899E16
0.027595	7.97399999999999E19	7.97399999999999	-0.071126936342901	15.353	2.36207230588717	-525.809652629815	-0.00449225740545722	--	8.3816312555693E16
0.028311	7.97399999999999E19	7.97399999999999	0.0474902621949126	15.317	2.34568476732536	787.513649379054	0.00297859569694431	6.04601208578643E-37	2.45535724672877E17
0.029386	7.97399999999999E19	7.97399999999999	0.163619421075716	15.28	2.32837153913835	228.57451423066	0.0101864879685963	2808.42484269114	4.78207097412568E17
0.03046	7.97399999999999E19	7.97399999999999	0.277260540299512	15.244	2.31013262132616	134.888396490475	0.0171262516378812	163568248617.487	1.12902890836467E18
0.0315345	7.97399999999999E19	7.97399999999999	0.388413619866296	15.208	2.29096801388879	96.2871222279941	0.0237930884304975	454738377822318	2.21030578857087E18
0.032609	7.97399999999999E19	7.97399999999999	0.497078659776071	15.172	2.27087771682622	75.2380512732767	0.0301825695694593	4.19875827025396E16	3.72655366560176E18
0.033325	7.97399999999999E19	7.97399999999999	0.603255660028837	15.135	2.24986173013847	61.9956548593278	0.0362906357750967	7.8813925912124E17	5.67780694215218E18
